similar_code,uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off
105,UON,1263105,Bachelor of Arts (Design),,40.876,40.436
106,UON,1263106,Bachelor of Arts (Anthropology),,23,25
106,MSU,1229606,"Bachelor of Arts (Sociology and Anthropology, With IT)",,23,25
106,CUEA,1480106,Bachelor of Arts in Anthropology,,23,
107,UON,1263107,Bachelor of Science (Actuarial Science),,44.88,45.053
107,KU,1111107,Bachelor of Science (Actuarial Science),,44.352,44.718
107,MU,1253107,Bachelor of Science (Actuarial Science),,42.466,44.25
107,EU,1057107,Bachelor of Science (Actuarial Science),,41.251,43.575
107,JKUAT,1249107,Bachelor of Science (Actuarial Science),,43.073,44.345
107,MSU,1229107,"Bachelor of Science (Actuarial Science, With IT)",,41.74,42.53
107,DeKUT,1173107,Bachelor of Science in Actuarial Science,,41.071,41.885
107,KSU,1087107,Bachelor of Actuarial Science,,39.817,31.452
107,MUST,1240107,Bachelor of Science (Actuarial Science),,38.9,32.275
107,SEKU,1166107,Bachelor of Science (Actuarial Science),,33.67,40.533
107,JOOUST,1053107,Bachelor of Science (Actuarial Science With IT),,36.39,39.849
107,UOK,1118107,Bachelor of Science (Actuarial Science),,32.829,41.092
107,MMUK,1164107,Bachelor of Science in Actuarial Science,,40.758,42.362
107,KARU,1244107,Bachelor of Science in Actuarial Science,,37.456,40.914
107,UOE,1114107,Bachelor of Science in Actuarial Science,,39.872,42.516
107,CUEA,1480107,Bachelor of Science in Actuarial Science,,29.52,
107,DAYSTAR,1162107,Bachelor of Science in Actuarial Science,,31.064,
107,MKU,1279107,Bachelor of Science in Actuarial Science,,28.948,
108,UON,1263108,Bachelor of Science (Industrial Chemistry),,41.916,43.637
108,KU,1111508,Bachelor of Science (Industrial Chemistry With Management),,41.66,41.721
108,JKUAT,1249108,Bachelor of Science (Industrial Chemistry),,41.346,40.499
108,MSU,1229108,"Bachelor of Science (Industrial Chemistry, With IT)",,38.8,40.986
108,MMUST,1082108,Bachelor of Science (Industrial Chemistry),,35.082,
108,DeKUT,1173108,Bachelor of Science in Industrial Chemistry,,38.764,38.484
108,PU,1117108,Bachelor of Science (Industrial Chemistry),,36.44,34.901
108,KSU,1087108,Bachelor of Science (Industrial Chemistry),,34.653,38.937
108,MMUK,1164108,Bachelor of Science in Industrial Chemistry,,39.86,39.717
108,EUC,1093108,Bachelor of Science (Industrial Chemistry),,34.771,32.201
109,UON,1263109,Bachelor of Science (Mathematics),,40.922,41.098
109,MSU,1229109,"Bachelor of Science (Mathematical Sciences, With IT)",,35.82,37.836
109,MMUST,1082409,Bachelor of Science (Mathematics With IT),,28.963,
109,TUK,1112109,Bachelor of Science (Mathematics),,37.014,37.816
109,PU,1117109,Bachelor of Science (Mathematics),,31.409,
109,KSU,1087709,"Bachelor of Science in Mathematics (Pure Mathematics, Applied Mathematics and Statistics)",,34.635,35.749
109,MMU,1165109,Bachelor of Science (Mathematics),,33.103,35.341
109,SEKU,1166109,Bachelor of Science (Mathematics),,31.164,33.879
109,KBBU,1108109,Bachelor of Science (Mathematics),,29.534,30.037
109,GUC,1096109,Bachelor of Science (Mathematics),,23,
109,RUC,1073109,Bachelor of Science (Mathematics),,30.282,30.779
109,MCKUC,1170109,Bachelor of Science (Mathematics),,31.041,33.099
109,BARA,1181109,Bachelor of Science in Mathematics,,28.602,
109,CUEA,1480109,Bachelor of Science (Mathematics),,28.995,
109,KWUST,1460109,Bachelor of Science in Mathematics,,30.038,
110,UON,1263110,Bachelor of Science (Meteorology),,31.016,31.939
110,SEKU,1166110,Bachelor of Science (Meteorology),,23,25
111,UON,1263111,Bachelor of Science (Biology),,36.747,36.323
111,KU,1111111,Bachelor of Science (Biology),,36.199,35.363
111,KU,1111611,Bachelor of Science (Conservation Biology),,32.061,26.475
111,JKUAT,1249111,Bachelor of Science (Biological Sciences),,28.357,
111,MMUST,1082111,Bachelor of Science (Biology),,30.201,31.524
111,PU,1117111,Bachelor of Science (Biology),,29.432,
111,KSU,1087111,Bachelor of Science in Biology (Botany or Zoology Option),,28.656,28.848
111,KSU,1087611,Bachelor of Science (Conservation Biology),,28.967,28.911
111,KSU,1087811,Bachelor of Science (Forensic Biology),,32.582,33.659
111,SEKU,1166111,Bachelor of Science (Biology),,28.548,27.426
111,JOOUST,1053111,Bachelor of Science (Biological Sciences),,23,28.727
111,KBBU,1108111,Bachelor of Science (Biology),,23,28.673
111,EUC,1093111,Bachelor of Science (Biology),,23,29.985
111,MCKUC,1170111,Bachelor of Science in Biology,,28.237,28.035
111,BARA,1181111,Bachelor of Science in Biology,,27.187,
111,CUEA,1480111,Bachelor of Science in Biology,,27.048,
111,BUSHIANGALA TTI,1190711,Diploma in Applied Biology,,5,5
111,CIT,1067711,Diploma in Applied Biology,,4,4
111,ELDO POLY,1237711,Diploma in Applied Biology,,5,4
111,FCK,1051711,Diploma in Applied Biology,,5,5
111,GUSII TI,1065711,Diploma in Applied Biology,,43,7
111,KABETE TTI,1064711,Diploma in Applied Biology,,4,4
111,KIST,1075711,Diploma in Applied Biology,,5,5
111,KISTVC,1085711,Diploma in Applied Biology,,,4
111,KITALE TTI,1101711,Diploma in Applied Biology,,7,4
111,KSM POLY,1074711,Diploma in Applied Biology,,5,5
111,MERU TTI,1083711,Diploma in Applied Biology,,4,5
111,MOMBASA TTI,1113711,Diploma in Applied Biology,,4,8
111,NAIROBI TTI,1044711,Diploma in Applied Biology,,4,4
111,NYERITTI,1239711,Diploma in Applied Biology,,7,4
111,OL'LESSOS TTI,1104711,Diploma in Applied Biology,,7,6
111,PCKINYANJUI TTI,1076711,Diploma in Applied Biology,,56,5
111,RIFT VALLEY TTI,1100711,Diploma in Applied Biology,,7,5
111,RVIST,1276111,Diploma in Applied Biology,,4,4
111,SIST,1216711,Diploma in Applied Biology,,,
111,THIKA TTI,1269711,Diploma in Applied Biology,,4,5
112,UON,1263112,Bachelor of Science (Biochemistry),,42.966,43.932
112,KU,1111112,Bachelor of Science (Biochemistry),,42.284,42.942
112,MU,1253112,Bachelor of Science (Biochemistry),,41.972,40.669
112,EU,1057112,Bachelor of Science (Biochemistry),,39.993,34.981
112,MMUST,1082112,Bachelor of Science (Biochemistry),,36.466,
112,TUK,1112112,Bachelor of Science (Biochemistry),,39.959,41.712
112,PU,1117112,Bachelor of Science (Biochemistry),,35.164,38.651
112,CU,1105112,Bachelor of Science (Biochemistry),,34.182,38.681
112,KSU,1087112,Bachelor of Science (Biochemistry),,34.98,38.868
112,UOK,1118112,Bachelor of Science (Biochemistry),,31.89,38.166
112,KARU,1244112,Bachelor of Science in Biochemistry,,36.452,27.269
112,UOE,1114112,Bachelor of Science in Biochemistry,,31.632,40.06
112,RUC,1073112,Bachelor of Science (Biochemistry),,32.879,36.962
113,UON,1263113,Bachelor of Science (Geology),,34.972,37.264
114,SEKU,1166113,Bachelor of Science (Geology),,23,28.311
114,KU,1111114,Bachelor of Science (Analytical Chemistry With Management),,39.513,41.37
114,JKUAT,1249114,Bachelor of Science (Analytical Chemistry),,37.654,41.22
114,KSU,1087114,Bachelor of Science (Analytical Chemistry),,30.877,38.365
114,MMUK,1164114,Bachelor of Science in Analytical Chemistry,,31.852,39.558
114,UOE,1114114,Bachelor of Science in Analytical Chemistry With Computing,,28.043,39.552
114,EUC,1093114,Bachelor of Science (Analytical Chemistry),,32.821,30.121
114,TUM,1063714,Diploma in Analytical Chemistry,,5,
114,ELDO POLY,1237714,Diploma in Analytical Chemistry,,4,5
114,FCK,1051714,Diploma in Analytical Chemistry,,7,7
114,GUSII TI,1065714,Diploma in Analytical Chemistry,,7,7
114,KABETE TTI,1064714,Diploma in Analytical Chemistry,,4,5
114,KIST,1075714,Diploma in Analytical Chemistry,,7,6
114,KISTVC,1085714,Diploma in Analytical Chemistry,,,4
114,KITALE TTI,1101714,Diploma in Analytical Chemistry,,4,4
114,KSM POLY,1074714,Diploma in Analytical Chemistry,,5,6
114,MERU TTI,1083714,Diploma in Analytical Chemistry,,5,5
114,MOMBASA TTI,1113714,Diploma in Analytical Chemistry,,10,5
114,NAIROBI TTI,1044714,Diploma in Analytical Chemistry,,4,4
114,NYERITTI,1239714,Diploma in Analytical Chemistry,,5,7
114,OL'LESSOS TTI,1104714,Diploma in Analytical Chemistry,,,
114,PCKINYANJUI TTI,1076714,Diploma in Analytical Chemistry,,,
114,RIFT VALLEY TTI,1100714,Diploma in Analytical Chemistry,,4,4
114,RVIST,1276114,Diploma in Analytical Chemistry,,4,5
114,SIGALAGAL TTI,1084714,Diploma in Analytical Chemistry,,,
114,SIST,1216714,Diploma in Analytical Chemistry,,,4
114,THIKA TTI,1269714,Diploma in Analytical Chemistry,,4,4
115,UON,1263115,Bachelor of Science (Computer Science),,44.824,44.774
115,KU,1111115,Bachelor of Science (Computer Science),,44.268,43.987
115,MU,1253115,Bachelor of Science (Computer Science),,43.519,43.363
115,EU,1057115,Bachelor of Science (Computer Science),,42.207,42.304
115,JKUAT,1249115,Bachelor of Science (Computer Science),,44.595,44.206
115,MSU,1229115,Bachelor of Science (Computer Science),,40.245,41.853
115,MMUST,1082115,Bachelor of Science (Computer Science),,35.061,40.577
115,DeKUT,1173115,Bachelor of Science in Computer Science,,40.976,40.757
115,PU,1117115,Bachelor of Science (Computer Science),,39.617,39.026
115,CU,1105115,Bachelor of Science (Computer Science),,33.084,39.622
115,KSU,1087115,Bachelor of Science in Computer Science,,33.336,38.727
115,MMU,1165115,Bachelor of Science (Computer Science),,36.228,38.704
115,MUST,1240115,Bachelor of Science in Computer Science,,29.429,38.299
115,SEKU,1166115,Bachelor of Science (Computer Science),,32.889,38.259
115,UOK,1118115,Bachelor of Science (Computer Science),,36.092,38.034
115,MMUK,1164115,Bachelor of Science in Computer Science,,42.761,42.585
115,LU,1176115,Bachelor of Science (Computer Science,,36.766,36.121
115,KARU,1244115,Bachelor of Science in Computer Science,,34.296,38.143
115,UOE,1114115,Bachelor of Science in Computer Science,,37.35,40.839
115,KBBU,1108115,Bachelor of Science (Computer Science),,35.23,34.881
115,GUC,1096115,Bachelor of Science in Computer Science,,23,
115,RUC,1073115,Bachelor of Science (Computer Science),,32.134,36.667
115,EUC,1093115,Bachelor of Science (Computer Science),,35.271,32.97
115,MCKUC,1170115,Bachelor of Science (Computer Science),,37.151,37.619
115,ANU,1078115,Bachelor of Science (Computer Science),,28.575,
115,CUEA,1480115,Bachelor of Science in Computer Science,,28.257,
115,GRETSA,1088115,Bachelor of Science in Computer Science,,29.198,
115,KABU,1061115,Bachelor of Science in Computer Science,,28.392,
115,KHEU,1169115,Bachelor of Science (Computer Science),,23,
115,KWUST,1460115,Bachelor of Science in Computer Science,,29.374,
115,PUEA,1196115,Bachelor of Science in Computer Science,,29.133,
115,RU,1060115,Bachelor of Science in Computer Science,,27.986,
115,SPU,1107115,Bachelor of Science in Computer Science,,28.611,
115,TEAU,1500115,Bachelor of Science (Computer Science),,30.7,
115,UMMA,1485115,Bachelor of Science in Computer Science,,28.009,
115,CIT,1067853,Diploma in Computer Studies,,4,4
115,ELDO POLY,1237716,Diploma in Computer Studies,,4,4
115,FCK,1051853,Diploma in Computer Studies,,4,4
115,KIHBT,1445716,Diploma in Computer Studies,,4,
115,KITALE TTI,1101853,Diploma in Computer Studies,,4,5
115,KSM POLY,1074715,Diploma in Computer Studies,,4,4
115,MATILI TTI,1307715,Diploma in Computer Science,,4,
115,NEPTTI,1230715,Diploma in Computer Science,,6,
115,RIFT VALLEY TTI,1100853,Diploma in Computer Studies,,4,4
115,RVIST,1276553,Diploma in Computer Studies,,4,4
115,SIST,1216715,Diploma in Computer Science,,4,4
115,SIST,1216853,Diploma in Computer Studies,,,
116,UON,1263116,Bachelor of Science (Civil Engineering),,45.214,45.278
116,KU,1111116,Bachelor of Science (Civil Engineering),,44.437,45.007
116,MU,1253616,Bachelor of Engineering (Civil and Structural Engineering),,43.938,44.921
116,JKUAT,1249116,Bachelor of Science Civil Engineering,,44.625,45.192
116,MMUST,1082616,Bachelor of Science (Civil and Structural Engineering),,42.457,40.62
116,TUK,1112116,Bachelor of Engineering (Civil Engineering),,43.269,44.314
116,TUM,1063116,Bachelor of Science in Civil Engineering,,39.57,43.046
116,DeKUT,1173116,Bachelor of Science in Civil Engineering,,43.139,43.044
116,UOE,1114616,Bachelor of Engineering (Civil & Structural Engineering),,41.426,43.511
116,MCKUC,1170116,Bachelor of Science in Civil Engineering,,41.347,42.169
116,BONDO TTI,1465706,Diploma in Civil Engineering,,4,
116,BUSHIANGALA TTI,1190706,Diploma in Civil Engineering,,4,4
116,ELDO POLY,1237706,Diploma in Civil Engineering,,5,4
116,GUSII TI,1065706,Diploma in Civil Engineering,,4,4
116,KABETE TTI,1064706,Diploma in Civil Engineering,,4,4
116,KEROKA TTI,1227706,Diploma in Civil Engineering,,,5
116,KIHBT,1445706,Diploma in Civil Engineering,,7,6
116,KIST,1075706,Diploma in Civil Engineering,,4,4
116,KITALE TTI,1101706,Diploma in Civil Engineering,,4,4
116,KSM POLY,1074706,Diploma in Civil Engineering,,4,4
116,KTTC,1268706,Diploma in Civil Engineering,,4,4
116,MAASAI TTI,1081706,Diploma in Civil Engineering,,4,7
116,MATILI TTI,1307706,Diploma in Civil Engineering,,,9
116,MERU TTI,1083706,Diploma in Civil Engineering,,4,5
116,MOMBASA TTI,1113706,Diploma in Civil Engineering,,5,4
116,MUKURWEINI TTI,1490706,Diploma in Civil Engineering,,,
116,NYANDARUA IST,1228706,Diploma in Civil Engineering,,4,4
116,NYERITTI,1239706,Diploma in Civil Engineering,,5,7
116,OL'LESSOS TTI,1104706,Diploma in Civil Engineering,,5,6
116,PCKINYANJUI TTI,1076706,Diploma in Civil Engineering,,,6
116,RIFT VALLEY TTI,1100706,Diploma in Civil Engineering,,4,4
116,RTI,1106706,Diploma in Civil Engineering,,5,4
116,RVIST,1276116,Diploma in Civil Engineering,,4,4
116,RWIKA TI,1071706,Diploma in Civil Engineering,,60,
116,SIGALAGAL TTI,1084706,Diploma in Civil Engineering,,4,
116,SIST,1216706,Diploma in Civil Engineering,,,
116,THIKA TTI,1269706,Diploma in Civil Engineering,,4,4
117,UON,1263117,Bachelor of Science (Electrical and Electronic Engineering),,45.006,45.365
117,KU,1111117,Bachelor of Science (Electrical & Electronics Engineering),,43.852,45.014
117,MU,1253617,Bachelor of Engineering (Electrical and Electronics Engineering),,43.752,44.846
117,MU,1253697,Bachelor of Engineering (Electrical and Telecommunication Engineering),,44.159,43.804
117,JKUAT,1249117,Bachelor of Science (Electrical and Electronic Engineering),,44.361,45.274
117,TUK,1112617,Bachelor of Engineering (Electrical and Electronic Engineering),,41.486,44.474
117,TUM,1063117,Bachelor of Science in Electrical & Electronic Engineering,,40.513,42.94
117,DeKUT,1173117,Bachelor of Science in Electrical and Electronic Engineering,,40.605,43.344
117,MCKUC,1170117,Bachelor of Science in Electrical and Electronics Engineering,,37.096,42.095
117,BONDO TTI,1465917,Diploma in Electrical & Electronic Engineering (Power),,4,
117,BUMBE TTI,1110928,Diploma in Electrical Engineering (Power),,4,6
117,CIT,1067917,Diploma in Electrical and Electronics Engineering (Power),,5,4
117,ELDO POLY,1237817,Diploma in Electrical & Electronics Engineering (Control & Instrumentation),,4,4
117,ELDO POLY,1237928,Diploma in Electrical & Electronics Engineering (Power Option),,4,4
117,ELDO POLY,1237717,Diploma in Electrical & Electronics Engineering (Telecommunication Option),,5,4
117,FCK,1051917,Diploma in Electrical and Electronics Engineering,,4,5
117,GUSII TI,1065917,Diploma in Electrical and Electronics (Power),,4,6
117,GUSII TI,1065717,Diploma in Electrical and Electronics (Telecommunication),,4,5
117,KABETE TTI,1064717,Diploma in Electrical & Electronic Engineering (Telecommunication),,4,4
117,KABETE TTI,1064917,Diploma in Electrical Engineering (Power),,4,4
117,KAREN TTI,1440917,Diploma in Electrical & Electronic Engineering (Power),,4,5
117,KEROKA TTI,1227917,Diploma in Electrical Engineering (Power),,4,4
117,KEROKA TTI,1227731,Diploma in Electronics,,,
117,KIHBT,1445917,Diploma in Electrical & Electronic Engineering (Power Option),,5,5
117,KIIRUA TTI,1048607,Diploma in Electrical and Electronics,,6,5
117,KIST,1075817,Diploma in Electrical and Electronics (Instrumentation),,4,5
117,KISTVC,1085917,Diploma in Electrical & Electronic Engineering (Power),,8,
117,KITALE TTI,1101917,Diploma in Electrical and Electronics (Power),,5,5
117,KITALE TTI,1101817,Diploma in Electrical (Instrumentation),,,
117,KITALE TTI,1101717,Diploma in Electrical (Telecommunication),,6,8
117,KTTC,1268717,Diploma in Electrical & Electronic Engineering (Telecommunication Option),,4,5
117,KTTC,1268817,Diploma in Electrical & Electronics Engineering (Control & Instrumentation),,4,5
117,KTTC,1268917,Diploma in Electrical & Electronics Engineering (Power Option),,4,4
117,MAASAI TTI,1081917,Diploma in Electrical Engineering (Power),,8,5
117,MATILI TTI,1307917,Diploma in Electrical Engineering (Power Option),,,8
117,MERU TTI,1083917,Diploma in Electrical & Electronics Engineering (Power),,4,4
117,MICHUKI TTI,1382917,Diploma in Electrical Engineering (Power),,5,7
117,MITUNGUU TTI,1450917,Diploma in Electrical & Electronics Engineering (Power Option),,,
117,MOMBASA TTI,1113917,Diploma in Electrical & Electronics Engineering (Power),,4,4
117,MUSAKASA TTI,1405917,Diploma in Electrical and Electronics Engineering (Power Option),,,
117,NABUNE TTI,1052729,Diploma in Electrical & Electronics,,7,
117,NAIROBI TTI,1044817,Diploma in Electrical and Electronics (Instrumentation & Control),,5,6
117,NAIROBI TTI,1044717,Diploma in Electrical and Electronics (Telecommunication),,4,5
117,NYANDARUA IST,1228917,Diploma in Elctrical Engineering (Power),,6,4
117,NYANDARUA IST,1228717,Diploma in Elctrical Engineering (Telecommunication),,56,5
117,NYERITTI,1239607,Diploma in Electrical & Electronics Engineering,,4,4
117,OL'LESSOS TTI,1104917,Diploma in Electrical Engineering (Power),,10,5
117,PCKINYANJUI TTI,1076917,Diploma in Electrical & Electronics Engineering (Power),,5,
117,PCKINYANJUI TTI,1076717,Diploma in Electrical & Electronics Engineering (Telecommunication),,45,4
117,RIAT,1241917,Diploma in Electrical/electronic Engineering (Power),,5,7
117,RIFT VALLEY TTI,1100817,Diploma in Electrical and Electronics Engineering (Instrumentation),,7,7
117,RIFT VALLEY TTI,1100917,Diploma in Electrical and Electronics (Power),,4,4
117,RTI,1106917,Diploma in Electrical & Electronic Engineering (Power),,4,4
117,RTI,1106717,Diploma in Electrical & Electronic Engineering (Telecommunications),,5,6
117,RVIST,1276117,Diploma in Electrical & Electronic Engineering (Power Option),,5,4
117,RVIST,1276717,Diploma in Electrical & Electronic Engineering (Telecommunication Option),,6,6
117,RWIKA TI,1071817,Diploma in Electrical Electronics (Instrumentation),,,
117,RWIKA TI,1071917,Diploma in Electrical Electronics (Power),,4,
117,RWIKA TI,1071717,Diploma in Electrical Electronics (Telecommunication),,,6
117,SHAMBERERE TTI,1049917,Diploma in Electrical & Electronics (Power),,4,6
117,SIAYA,1430717,Diploma in Electrical & Electronic Engineering (Telecommunication Option),,7,9
117,SIAYA,1430917,Diploma in Electrical and Electronics (Power Option),,48,
117,SIGALAGAL TTI,1084817,Diploma in Electrical and Electronic (Control),,,4
117,SIGALAGAL TTI,1084607,Diploma in Electrical and Electronics,,4,8
117,SIGALAGAL TTI,1084917,Diploma in Electrical & Electronics (Power),,6,
117,ST.JOSEPH TI,1380917,Diploma in Electrical and Electronics (Power Option),,6,5
117,TDC,1062917,Diploma in Electrical Engineering (Power),,7,5
117,THIKA TTI,1269717,Diploma in Electrical/ Electronics Technology (Telecommunication),,4,4
117,WOTE TTI,1243717,Diploma in Electrical/ Electronics Technology (Telecommunication),,11,
117,WOTE TTI,1243817,Diploma in Electrical and Electronics Engineering (Instrumentation),,,7
117,WOTE TTI,1243917,Diploma in Electrical and Electronics (Power),,4,6
118,UON,1263118,Bachelor of Science (Mechanical Engineering),,44.51,44.481
118,KU,1111618,Bachelor of Sciences (Mechanical & Manufacturing Engineering),,44.069,44
118,MU,1253718,Bachelor of Engineering (Mechanical and Production Engineering),,43.162,43.885
118,JKUAT,1249118,Bachelor of Science (Mechanical Engineering),,44.317,44.1
118,MMUST,1082251,Bachelor of Science (Mechanical and Industrial Engineering),,33.355,42.076
118,TUK,1112118,Bachelor of Engineering (Mechanical Engineering),,41.216,43.626
118,TUM,1063118,Bachelor of Science in Mechanical Engineering,,39.097,42.023
118,DeKUT,1173118,Bachelor of Science in Mechanical Engineering,,42.03,41.834
118,MMUK,1164212,Bachelor of Science in Mechanical and Manufacturing Engineering,,37.385,
118,UOE,1114718,Bachelor of Engineering (Mechanical & Production Engineering),,33.471,42.635
118,MCKUC,1170118,Bachelor of Science in Mechanical Engineering,,39.18,40.595
118,TUM,1063708,Diploma in Mechanical Engineering (Plant Option),,4,
118,TUM,1063808,Diploma in Mechanical Engineering (Production Option),,5,
118,BUSHIANGALA TTI,1190708,Diploma in Mechanical Engineering,,8,4
118,ELDO POLY,1237908,Diploma in Mechanical Engineering (Automotive),,4,4
118,ELDO POLY,1237708,Diploma in Mechanical Engineering (Plant),,4,4
118,ELDO POLY,1237808,Diploma in Mechanical Engineering (Production),,5,6
118,EMINING TTI,1245708,Diploma in Mechanical Engineering,,6,
118,FCK,1051708,Diploma in Mechanical Engineering,,52,11
118,GUSII TI,1065808,Diploma in Mechanical Engineering (Production),,,
118,KABETE TTI,1064708,Diploma in Mechanical Engineering (Plant),,4,5
118,KABETE TTI,1064808,Diploma in Mechanical Engineering (Production),,4,6
118,KEROKA TTI,1227808,Diploma in Mechanical Engineering (Production),,,
118,KIHBT,1445708,Diploma in Mechanical Engineering (Plant Option),,5,
118,KISTVC,1085908,Diploma in Mechanical Engineering (Automotive),,4,7
118,KITALE TTI,1101908,Diploma in Mechanical Engineering (Automotive),,7,5
118,KITALE TTI,1101708,Diploma in Mechanical Engineering (Plant),,9,
118,KITALE TTI,1101808,Diploma in Mechanical Engineering (Production),,5,7
118,KSM POLY,1074708,Diploma in Mechanical Engineering (Plant),,44,7
118,KSM POLY,1074808,Diploma in Mechanical Engineering (Production),,6,4
118,KTTC,1268808,Diploma in Mechanical Engineering (Production Option),,6,5
118,MAASAI TTI,1081708,Diploma in Mechanical Engineering,,4,4
118,MATILI TTI,1307708,Diploma in Mechanical Engineering,,,
118,MERU TTI,1083908,Diploma in Mechanical Engineering (Automotive),,5,5
118,MOMBASA TTI,1113708,Diploma in Mechanical Engineering,,6,5
118,NAIROBI TTI,1044708,Diploma in Mechanical Engineering (Plant),,4,4
118,NAIROBI TTI,1044808,Diploma in Mechanical Engineering (Production),,4,4
118,NYERITTI,1239808,Diploma in Mechanical Engineering (Production),,10,5
118,OL'LESSOS TTI,1104708,Diploma in Mechanical Engineering (Plant),,,
118,PCKINYANJUI TTI,1076908,Diploma in Mechanical Engineering (Automotive),,6,8
118,PCKINYANJUI TTI,1076808,Diploma in Mechanical Engineering (Production),,,
118,RIFT VALLEY TTI,1100708,Diploma in Mechanical Engineering (Plant),,6,6
118,RIFT VALLEY TTI,1100808,Diploma in Mechanical Engineering (Production),,,5
118,RTI,1106908,Diploma in Mechanical Engineering (Automotive),,7,4
118,RTI,1106708,Diploma in Mechanical Engineering (Plant),,8,6
118,RVIST,1276118,Diploma in Mechanical Engineering (Production),,8,6
118,SHAMBERERE TTI,1049708,Diploma in Mechanical Engineering,,7,4
118,SIGALAGAL TTI,1084708,Diploma in Mechanical Engineering,,5,6
118,ST.JOSEPH TI,1380908,Diploma in Mechanical Engineering (Automotive Option),,,
118,ST.JOSEPH TI,1380808,Diploma in Mechanical Engineering (Production Option),,6,
118,TDC,1062808,Diploma in Mechanical Engineering (Production),,,6
118,THIKA TTI,1269708,Diploma in Mechanical Engineering (Plant),,6,5
118,THIKA TTI,1269808,Diploma in Mechanical Engineering (Production),,4,4
119,UON,1263119,Bachelor of Science (Geospatial Engineering),,43.896,43.632
119,JKUAT,1249619,Bachelor of Science (Geomatic Engineering and Geospatial Information Systems),,41.26,43.7
119,JKUAT,1249719,Bachelor of Science (Geospatial Information Science),,39.77,42.605
119,MSU,1229819,"Bachelor of Science (Geospatial Information Science, With IT)",,35.866,40.561
119,TUK,1112119,Bachelor of Engineering (Geospatial Engineering),,40.345,42.984
119,DeKUT,1173619,Bachelor of Science in Geomatics and Geospatial Information Systems,,40.398,40.673
119,DeKUT,1173719,Bachelor of Science in Geospatial Information Science and Remote Sensing,,38.975,37.942
120,UON,1263120,Bachelor of Science (B.sc),,33.529,29.26
120,KU,1111120,Bachelor of Science (B.sc),,33.022,32.757
120,MU,1253120,Bachelor of Science (Bsc.),,30.842,27.403
120,EU,1057120,Bachelor of Science,,27.195,28.088
120,JKUAT,1249120,Bachelor of Science (B.sc),,31.647,27.333
120,MSU,1229120,"Bachelor of Science (Basic Science, With IT)",,26.72,30.808
120,CU,1105120,Bachelor of Science,,27.558,28.787
120,KSU,1087120,Bachelor of Science,,29.036,28.351
120,MUST,1240120,Bsc (Science),,23,27.225
120,UOK,1118120,Bachelor of Science (Bsc.),,23,27.98
120,LU,1176120,Bachelor of Science,,28.293,27.81
120,KARU,1244120,Bachelor of Science,,23,27.755
120,UOE,1114120,Bachelor of Science (B.sc),,28.394,28.07
120,GUC,1096120,Bachelor of Science,,23,
120,EUC,1093120,Bachelor of Science (Bsc.),,23,27.235
120,KABU,1061120,Bachelor of Science,,26.493,
121,UON,1263121,Bachelor of Science (Biosystems Engineering),,41.776,41.001
